AKTIVA,,31.12.2023,,31.12.2022
"",EUR,EUR,,EUR
A. ANLAGEVERMÖGEN,,,,
I. Immaterielle Vermögensgegenstände,,,,
"1. Entgeltlich erworbene Konzessionen,",,,,
gewerbliche Schutzrechte und,,,,
"ähnliche Rechte und Werte sowie",,,,
Lizenzen an solchen Rechten,,,,
und Werten,"231.969,00",,,"362.536,00"
2. Geleistete Anzahlungen,"0,00",,,"141.686,16"
"",,"231.969,00",,"504.222,16"
II. Sachanlagen,,,,
"1. Grundstücke, grundstücksgleiche Rechte",,,,
und Bauten einschließlich der Bauten auf,,,,
fremden Grundstücken,"85.411,00",,,"116.353,00"
"2. Andere Anlagen, Betriebs- und",,,,
Geschäftsausstattung,"110.529,00",,,"168.720,00"
"",,"195.940,00",,"285.073,00"
III. Finanzanlagen,,,,
"1. Sonstige Finanzanlagen  11.400.000,00",,,,"11.400.000,00"
"",,"11.400.000,00",,"11.400.000,00"
"",,"11.827.909,00",,"12.189.295,16"
"",,,,
B. UMLAUFVERMÖGEN,,,,
I. Forderungen und sonstige,,,,
Vermögensgegenstände,,,,
1. Forderungen aus Lieferungen,,,,
und Leistungen,"538.712,92",,,"151.524,82"
2. Forderungen gegen Trägerländer,"86.385,35",,,"12.892,96"
3. Sonstige Vermögensgegenstände,"127.356,18",,,"62.639,53"
"",,"752.454,45",,"227.057,31"
"II. Kassenbestand, Guthaben bei Kreditinstituten",,"15.072.743,23",,"16.189.729,27"
"",,"15.825.197,68",,"16.416.786,58"
"",,,,
C. RECHNUNGSABGRENZUNGSPOSTEN,,"504.434,24",,"459.946,26"
"",,,,
"",,"28.157.540,92",,"29.066.028,00"
